"# Obligatorio | Identificador de contenido Ãºnico del artÃ­culo","# Obligatorio | TÃ­tulo especÃ­fico y relevante para el artÃ­culo.","# Obligatorio | A short and relevant description of the item.","# Obligatorio | The current availability of the item. ","# Obligatorio | The condition of the item. ","# Obligatorio | Precio del artÃ­culo.","# Obligatorio | URL de la pÃ¡gina del producto especÃ­fica donde las personas pueden comprar el artÃ­culo.","# Obligatorio | URL de la imagen principal de tu artÃ­culo. ","# Obligatorio | Marca del artÃ­culo. En su lugar; tambiÃ©n puedes ingresar un nÃºmero Ãºnico","# Opcional | CategorÃ­a de productos de Google para el artÃ­culo.","# Opcional | CategorÃ­a de productos de Facebook para el artÃ­culo.","# Opcional | The quantity of this item you have to sell on Facebook and Instagram with checkout.","# Opcional | Precio con descuento del artÃ­culo si estÃ¡ en oferta.","# Opcional | Intervalo del perÃ­odo de oferta;","# Opcional | Use this field to create variants of the same item.","# Opcional | Sexo de las personas a las que se dirige el artÃ­culo.","# Opcional | Color del artÃ­culo. Usa una o mÃ¡s palabras para describir el color.","# Opcional | TamaÃ±o o talle del artÃ­culo escrito como una palabra; ","# Opcional | Grupo de edad de las personas a las que se dirige el artÃ­culo.","# Opcional | The material the item is made from;","# Opcional | The pattern or graphic print on the item. Character limit: 100.","# Opcional | Detalles de envÃ­o del artÃ­culo; con el siguiente formato:","# Opcional | Peso del envÃ­o del artÃ­culo. Incluye la unidad de medida (lb/oz/g/kg)."
"66340","Pañuelo Rojo Decorado","Pañuelo Rojo Decorado","in stock","new","90","https://begima.com.mx/producto/123456713/pack/0","https://begima.com.mx/public/61a94deaed3d1pañ.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","90","90","","female","black","M","adult","cotton","stripes","","2 kg"
"66339","Brasier Copa B Diseños Diferentes CocoFun","Brasier Copa B Diseños Diferentes CocoFun","in stock","new","390","https://begima.com.mx/producto/123456714/pack/0","https://begima.com.mx/public/61a94ad768910252.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","390","390","","female","black","M","adult","cotton","stripes","","2 kg"
"66377","Protectopie Negro","Protectopie Negro","in stock","new","90","https://begima.com.mx/producto/123456715/pack/0","https://begima.com.mx/public/61ae5c8a316f0555.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","90","90","","female","black","M","adult","cotton","stripes","","2 kg"
"66338","Calcetin Black Forza","Calcetin Black Forza","in stock","new","240","https://begima.com.mx/producto/123456716/pack/0","https://begima.com.mx/public/61a9412c96d70987.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","240","240","","female","black","M","adult","cotton","stripes","","2 kg"
"66374","Calcetines Para Bebe Begima","Calcetines Para Bebe Begima","in stock","new","192","https://begima.com.mx/producto/123456717/pack/0","https://begima.com.mx/public/61ae4a750b036159.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","192","192","","female","black","M","adult","cotton","stripes","","2 kg"
"66336","Pantaleta Corte Completo Decorado Balmi","Pantaleta Corte Completo Decorado Balmi","in stock","new","599.9","https://begima.com.mx/producto/123456718/pack/0","https://begima.com.mx/public/61a9357d1d003147.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","599.9","599.9","","female","black","M","adult","cotton","stripes","","2 kg"
"66331","Tanga Con Encaje Balmi","Tanga Con Encaje Balmi","in stock","new","420","https://begima.com.mx/producto/123456719/pack/0","https://begima.com.mx/public/61a92f6c24498123.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66329","Brasier Copa B Ilumie","Brasier Copa B Ilumie","in stock","new","540","https://begima.com.mx/producto/123456720/pack/0","https://begima.com.mx/public/61a92314263f8452.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","540","540","","female","black","M","adult","cotton","stripes","","2 kg"
"66330","Boxer Microfibra Romabra","Boxer Microfibra Romabra","in stock","new","240","https://begima.com.mx/producto/123456721/pack/0","https://begima.com.mx/public/61a9255cf0e31666.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","240","240","","female","black","M","adult","cotton","stripes","","2 kg"
"66327","Brasier Copa A  Angelina","Brasier Copa A  Angelina","in stock","new","599.9","https://begima.com.mx/producto/123456722/pack/0","https://begima.com.mx/public/61a91ddb6a869op.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","599.9","599.9","","female","black","M","adult","cotton","stripes","","2 kg"
